EventIDs,Ksnow
PS122-1_4-10,0.17473684210526289
PS122-1_5-5,0.21580000000000032
PS122-1_5-28,0.08968553459119462
PS122-1_6-146,0.19074074074074077
PS122-1_7-5,0.10301587301587316
PS122-1_7-8,0.19999999999999973
PS122-1_7-88,0.1573684210526309
PS122-1_8-68,0.11596330275229431
PS122-1_8-78,0.19363636363636524
PS122-1_9-23,0.13636363636363644
PS122-1_9-117,0.1749999999999998
PS122-1_10-70,0.09686274509803962
PS122-1_11-23,0.18680232558139603
PS122-2_17-43,0.24822580645161205
PS122-2_17-44,0.14479674796747943
PS122-2_17-46,0.24822580645161205
PS122-2_17-49,0.13512295081967185
PS122-2_17-90,0.24215827338129414
PS122-2_17-91,0.36867469879518033
PS122-2_17-109,0.16445000000000012
PS122-2_18-52,0.4247191011235974
PS122-2_19-9,0.4001500000000006
PS122-2_19-41,0.20317647058823446
PS122-2_19-75,0.18875000000000053
PS122-2_19-92,0.24212500000000145
PS122-2_19-129,0.4663565891472869
PS122-2_19-132,0.14205298013245013
PS122-2_19-134,0.1521088435374147
PS122-2_19-137,0.19079268292682997
PS122-2_19-142,0.1326315789473684
PS122-2_19-144,0.4258992805755394
PS122-3_29-43,0.19336134453781448
PS122-2_20-36,0.6089285714285715
PS122-2_20-80,0.1854255319148943
PS122-2_20-83,0.36449999999999844
PS122-2_20-108,0.2099193548387089
PS122-2_20-107,0.21125000000000044
PS122-2_20-140,0.4674999999999986
PS122-2_20-142,0.2482758620689657
PS122-2_20-143,0.4018691588785038
PS122-2_20-145,0.2007079646017696
PS122-2_21-15,0.1300909090909096
PS122-2_21-14,0.2278823529411774
PS122-2_21-84,0.1344000000000001
PS122-2_21-96,0.3113375796178348
PS122-2_22-5,0.37958904109589015
PS122-2_22-6,0.24571428571428455
PS122-2_22-61,0.10672839506172856
PS122-2_22-66,1.0421212121212144
PS122-2_22-67,0.2719607843137262
PS122-2_23-9,0.5356521739130464
PS122-2_23-34,0.16992366412213825
PS122-2_23-53,0.8990000000000011
PS122-2_23-73,0.35438775510204146
PS122-2_23-74,0.20903954802259916
PS122-2_23-75,0.5626153846153883
PS122-2_23-77,1.054821428571437
PS122-2_24-15,0.21391304347826184
PS122-2_24-35,0.2261960784313728
PS122-2_24-81,0.14168674698795197
PS122-2_24-86,0.17099236641221344
PS122-2_24-112,0.2445283018867928
PS122-2_24-113,0.16264285714285728
PS122-2_25-22,0.12830188679245277
PS122-2_25-23,0.20603773584905719
PS122-2_25-81,1.9937499999999952
PS122-3_29-9,0.2601739130434787
PS122-3_29-28,0.2589285714285714
PS122-3_29-29,0.20569999999999927
PS122-3_30-17,0.24248803827751256
PS122-3_30-25,0.250632911392405
PS122-3_31-55,0.25061538461538496
PS122-3_31-79,0.63306451612903
PS122-3_32-59,0.264782608695653
PS122-3_32-61,0.25477477477477517
PS122-3_32-88,0.313043478260869
PS122-3_32-92,0.39230769230769297
PS122-3_33-41,0.40217391304347794
PS122-3_33-65,0.5199999999999987
PS122-3_33-102,0.2687999999999997
PS122-3_34-34,0.6844444444444324
PS122-3_34-60,0.17772727272727273
PS122-3_35-23,0.13362637362637453
PS122-3_35-53,0.3126506024096383
PS122-3_35-56,0.4090909090909104
PS122-3_35-111,0.6095744680851085
PS122-3_35-121,0.22483516483516525
PS122-3_36-107,0.3360000000000003
PS122-3_37-39,0.28901408450704164
PS122-3_37-41,0.2352777777777792
PS122-3_37-58,0.13324675324675384
PS122-3_37-57,1.5404999999999986
PS122-3_37-129,0.11333333333333334
PS122-3_37-132,0.14000000000000107
PS122-3_38-51,1.2564102564102453
PS122-3_38-141,0.610135135135137
PS122-3_39-87,1.173333333333335
PS122-3_38-95,0.661956521739127
PS122-3_38-152,0.661956521739127
PS122-3_39-45,0.551515151515161
